Method,Avg Tokens,GQA,POPE F1,E2E Mean ms,E2E Std ms,Speedup,LLM Prefill ms,Throughput,E2E overhead vs Random (%),GQA gain vs Random,POPE F1 gain vs Random
Vanilla,576,61.93,85.91996787280682,211.61968964959183,0.2094942946186268,1.0,155.09734344482422,4.725461296315295,,,
RandomPrune,64,55.06,78.74089414223032,103.09559560070436,0.2845409719538532,2.052667554983557,47.84461540985108,9.699784597350575,0.0,0.0,0.0
ApET,64,57.31,84.69014069479988,106.4801865418752,0.1650409706688751,1.9874122559692355,48.867524075826005,9.391433602657418,3.282963662462917,2.25,5.949246552569562
