method,avg_visual_tokens,gqa_accuracy_pct,pope_f1_pct,pope_accuracy_pct,precision_pct,recall_pct,yes_ratio_pct,vision_stage_tokens,layer16_tokens,e2e_mean_ms,e2e_across_run_std_ms,e2e_speedup_mean,e2e_speedup_std,prefill_mean_ms,prefill_across_run_std_ms,prefill_speedup_mean,prefill_speedup_std,throughput_mean_samples_per_s,peak_allocated_gb_mean,token_retention_pct,e2e_latency_reduction_pct,prefill_latency_reduction_pct
Vanilla,576,61.93,85.91996787280682,86.88213058419244,93.94147126322768,79.20000000000002,42.61890034364262,576,576,211.61968964959183,0.2094942946186268,1.0,0.0,155.09734344482422,0.2062514611186782,1.0,0.0,4.725461296315295,15.040469646453856,100.0,0.0,0.0
ApET,192,59.95,86.44676978143315,87.16437571592212,92.80965879021896,80.95555555555555,44.10801832760596,288,96,149.04032615448037,0.3767414484793084,1.4198868392302326,0.0030530167270668,90.61775756835937,0.3132644670965882,1.7115671265742176,0.0053463009593672,6.709622096148671,15.040469646453856,33.33333333333333,29.571616704822134,41.57362366390461
ApET,128,59.41,86.09873615063422,86.85360824742267,92.63130573615032,80.4888888888889,43.95143184421535,192,64,117.24118886888029,0.4987404804391511,1.805014509811828,0.007284618381485,58.79717058563233,0.313664204371159,2.637882316767946,0.0131852877691376,8.529528760455486,15.040469646453856,22.22222222222222,44.598166142756924,62.09014978612488
ApET,64,57.31,84.69014069479988,85.80378006872851,93.23025263373232,77.64444444444445,42.12588774341352,96,32,106.4801865418752,0.1650409706688751,1.9874122559692355,0.0036471130466062,48.867524075826005,0.0984059042755599,3.17384311973934,0.0087521697002888,9.391433602657418,15.040469646453856,11.11111111111111,49.683232822905445,68.49235261517512
