method,avg_visual_tokens,token_retention_pct,vision_stage_tokens,layer16_tokens,gqa_accuracy_pct,pope_f1_pct,pope_accuracy_pct,precision_pct,recall_pct,yes_ratio_pct,paper_gqa,paper_pope,gqa_diff,pope_diff
Vanilla,576,100.0,576,576,61.93,85.91996787280682,86.88213058419244,93.94147126322768,79.20000000000002,42.61890034364262,61.9,85.9,0.030000000000001137,0.019967872806816445
ApET,192,33.33333333333333,288,96,59.95,86.44676978143315,87.16437571592212,92.80965879021896,80.95555555555555,44.10801832760596,60.2,86.3,-0.25,0.14676978143315011
ApET,128,22.22222222222222,192,64,59.41,86.09873615063422,86.85360824742267,92.63130573615032,80.4888888888889,43.95143184421535,58.9,86.1,0.509999999999998,-0.0012638493657703975
ApET,64,11.11111111111111,96,32,57.31,84.69014069479988,85.80378006872851,93.23025263373232,77.64444444444445,42.12588774341352,56.9,84.4,0.4100000000000037,0.2901406947998737
