Setting,Method,Avg Visual Tokens,Retention (%),GQA Accuracy (%),POPE Macro-F1 (%),E2E Latency Mean (ms),E2E Latency Std (ms),E2E Speedup,LLM Prefill Mean (ms),LLM Prefill Std (ms),Throughput (samples/s),Source
Vanilla-576,Vanilla,576,100.0,61.93,85.91996787280682,211.61968964959183,0.2094942946186268,1.0,155.09734344482422,0.2062514611186782,4.725461296315295,Our controlled experiment
ApET-192,ApET,192,33.33333333333333,59.95,86.44676978143315,149.04032615448037,0.3767414484793084,1.4198868392302326,90.61775756835937,0.3132644670965882,6.709622096148671,Our controlled experiment
ApET-128,ApET,128,22.22222222222222,59.41,86.09873615063422,117.24118886888029,0.4987404804391511,1.805014509811828,58.79717058563233,0.313664204371159,8.529528760455486,Our controlled experiment
RandomPrune-64,RandomPrune,64,11.11111111111111,55.06,78.74089414223032,103.09559560070436,0.2845409719538532,2.052667554983557,47.84461540985108,0.167280854913549,9.699784597350575,Our controlled experiment
ApET-64,ApET,64,11.11111111111111,57.31,84.69014069479988,106.4801865418752,0.1650409706688751,1.9874122559692355,48.867524075826005,0.0984059042755599,9.391433602657418,Our controlled experiment
