Method,Avg Tokens,Retain (%),GQA,POPE F1,E2E,Speedup,LLM_Prefill,Throughput
Vanilla,576,100.0,61.93,85.91996787280682,211.62 ± 0.21,1.0,155.10 ± 0.21,4.725461296315295
ApET,192,33.33333333333333,59.95,86.44676978143315,149.04 ± 0.38,1.4198868392302326,90.62 ± 0.31,6.709622096148671
ApET,128,22.22222222222222,59.41,86.09873615063422,117.24 ± 0.50,1.805014509811828,58.80 ± 0.31,8.529528760455486
ApET,64,11.11111111111111,57.31,84.69014069479988,106.48 ± 0.17,1.9874122559692355,48.87 ± 0.10,9.391433602657418
