setting,method,repeat,avg_visual_tokens,vision_stage_tokens,layer16_tokens,e2e_mean_ms,prefill_mean_ms,throughput_samples_per_s,peak_allocated_gb,e2e_speedup_vs_vanilla,prefill_speedup_vs_vanilla
RandomPrune-64,RandomPrune,r1,64,96,32,102.93776196986437,47.73837503051758,9.71460794234827,15.040469646453857,2.05476654161113,3.2467427038752903
RandomPrune-64,RandomPrune,r2,64,96,32,103.42407197505236,48.037441078186035,9.668928914742565,15.040469646453857,2.0448329699017966,3.2258793854889776
RandomPrune-64,RandomPrune,r3,64,96,32,102.92495285719633,47.75803012084961,9.715816934960896,15.040469646453857,2.0584031534377445,3.2525382267745897
