setting,method,avg_visual_tokens,token_retention_pct,vision_stage_tokens,layer16_tokens,repeats,samples_per_repeat,e2e_mean_ms,e2e_across_run_std_ms,e2e_speedup_mean,e2e_speedup_std,prefill_mean_ms,prefill_across_run_std_ms,prefill_speedup_mean,prefill_speedup_std,throughput_mean_samples_per_s,throughput_across_run_std,peak_allocated_gb_mean,peak_allocated_gb_std
Vanilla-576,Vanilla,576,100.0,576,576,3,500,211.61968964959183,0.20949429461862681,1.0,0.0,155.09734344482422,0.20625146111867823,1.0,0.0,4.725461296315295,0.004675383208487992,15.040469646453857,0.0
ApET-192,ApET,192,33.33333333333333,288,96,3,500,149.04032615448037,0.37674144847930846,1.4198868392302326,0.003053016727066839,90.61775756835937,0.31326446709658823,1.7115671265742176,0.005346300959367296,6.709622096148671,0.01698346685852128,15.040469646453857,0.0
ApET-128,ApET,128,22.22222222222222,192,64,3,500,117.24118886888027,0.49874048043915115,1.8050145098118282,0.007284618381485084,58.79717058563233,0.31366420437115905,2.637882316767946,0.013185287769137667,8.529528760455486,0.036368727396320216,15.040469646453857,0.0
ApET-64,ApET,64,11.11111111111111,96,32,3,500,106.4801865418752,0.16504097066887516,1.9874122559692353,0.003647113046606215,48.867524075826005,0.09840590427555991,3.17384311973934,0.008752169700288859,9.391433602657418,0.014559177671267694,15.040469646453857,0.0
