method,avg_visual_tokens,token_retention_pct,vision_stage_tokens,layer16_tokens,gqa_accuracy_pct,pope_f1_pct,pope_accuracy_pct,precision_pct,recall_pct,yes_ratio_pct
Vanilla,576,100.0,576,576,61.93,85.91996787280682,86.88213058419244,93.94147126322768,79.20000000000002,42.61890034364262
ApET,192,33.33333333333333,288,96,59.95,86.44676978143315,87.16437571592212,92.80965879021896,80.95555555555555,44.10801832760596
ApET,128,22.22222222222222,192,64,59.41,86.09873615063422,86.85360824742267,92.63130573615032,80.4888888888889,43.95143184421535
ApET,64,11.11111111111111,96,32,57.31,84.69014069479988,85.80378006872851,93.23025263373232,77.64444444444445,42.12588774341352
