run_id,category,samples,accuracy,precision,recall,f1,yes_ratio
pope_vanilla_576_s42,popular,3000,0.8726666666666667,0.9443561208267091,0.792,0.8614938361131255,0.41933333333333334
pope_vanilla_576_s42,random,2910,0.8821305841924398,0.9745693191140279,0.792,0.8738506803972048,0.4189003436426117
pope_vanilla_576_s42,adversarial,3000,0.8516666666666667,0.8993186979560939,0.792,0.8422545196738745,0.44033333333333335
pope_vanilla_576_s42,macro_avg,8910,0.8688213058419244,0.9394147126322769,0.7920000000000001,0.8591996787280682,0.4261890034364262
pope_apet_192_s42,popular,3000,0.8786666666666667,0.9355828220858896,0.8133333333333334,0.8701854493580599,0.43466666666666665
pope_apet_192_s42,random,2910,0.8865979381443299,0.9672523961661342,0.8073333333333333,0.8800872093023256,0.4302405498281787
pope_apet_192_s42,adversarial,3000,0.8496666666666667,0.8814545454545455,0.808,0.8431304347826087,0.4583333333333333
pope_apet_192_s42,macro_avg,8910,0.8716437571592212,0.9280965879021897,0.8095555555555555,0.8644676978143314,0.4410801832760596
pope_apet_128_s42,popular,3000,0.8753333333333333,0.9364341085271318,0.8053333333333333,0.8659498207885304,0.43
pope_apet_128_s42,random,2910,0.8869415807560137,0.9687750200160128,0.8066666666666666,0.8803201164059657,0.4292096219931271
pope_apet_128_s42,adversarial,3000,0.8433333333333334,0.8737300435413643,0.8026666666666666,0.8366921473245308,0.4593333333333333
pope_apet_128_s42,macro_avg,8910,0.8685360824742268,0.926313057361503,0.8048888888888889,0.8609873615063423,0.4395143184421535
pope_apet_64_s42,popular,3000,0.867,0.9508599508599509,0.774,0.8533627342888644,0.407
pope_apet_64_s42,random,2910,0.870446735395189,0.9652029826014913,0.7766666666666666,0.860731437015146,0.4147766323024055
pope_apet_64_s42,adversarial,3000,0.8366666666666667,0.8808446455505279,0.7786666666666666,0.8266100495399858,0.442
pope_apet_64_s42,macro_avg,8910,0.8580378006872852,0.9323025263373234,0.7764444444444445,0.8469014069479988,0.4212588774341352
