run_id,method,avg_visual_tokens,vision_stage_tokens,layer16_tokens,pope_accuracy_pct,pope_f1_pct,precision_pct,recall_pct,yes_ratio_pct
pope_vanilla_576_s42,Vanilla,576,576,576,86.88213058419244,85.91996787280682,93.94147126322768,79.20000000000002,42.61890034364262
pope_apet_192_s42,ApET,192,288,96,87.16437571592212,86.44676978143315,92.80965879021896,80.95555555555555,44.10801832760596
pope_apet_128_s42,ApET,128,192,64,86.85360824742267,86.09873615063422,92.63130573615031,80.4888888888889,43.95143184421535
pope_apet_64_s42,ApET,64,96,32,85.80378006872851,84.69014069479988,93.23025263373233,77.64444444444445,42.12588774341352
